"actor","repository_language","pushes"
"chrissnyder","CoffeeScript","37"
"broileri","CoffeeScript","11"
"anodynos","CoffeeScript","57"
"1313","CoffeeScript","23"
"KODerFunk","CoffeeScript","46"
"saebekassebil","CoffeeScript","37"
"okize","CoffeeScript","93"
"svda","CoffeeScript","34"
"emmenko","CoffeeScript","98"
"wyctim","CoffeeScript","36"
"denya133","CoffeeScript","27"
"regular","CoffeeScript","33"
"tarruda","CoffeeScript","143"
"klanoma","CoffeeScript","143"
"ChickenFur","CoffeeScript","50"
"banduin","CoffeeScript","16"
"efritz","CoffeeScript","25"
"simonf","CoffeeScript","18"
"bradjasper","CoffeeScript","76"
"doughsay","CoffeeScript","240"
"hijonathan","CoffeeScript","50"
"rma4ok","CoffeeScript","22"
"Squeegy","CoffeeScript","86"
"thejoshwolfe","CoffeeScript","45"
"redexp","CoffeeScript","61"
"skddc","CoffeeScript","51"
"michaelhood","CoffeeScript","12"
"atmos","CoffeeScript","61"
"JoelBesada","CoffeeScript","43"
"nathanstitt","CoffeeScript","53"
"nthitz","CoffeeScript","44"
"tebriel","CoffeeScript","25"
"carlosjhr64","CoffeeScript","171"
"aponxi","CoffeeScript","139"
"netzpirat","CoffeeScript","94"
"diosmosis","CoffeeScript","15"
"zzzev","CoffeeScript","107"
"neocotic","CoffeeScript","232"
"sherwinyu","CoffeeScript","178"
"jmcampanini","CoffeeScript","15"
"pstaender","CoffeeScript","213"
"greatghoul","CoffeeScript","16"
"wdavidw","CoffeeScript","181"
"tansaku","CoffeeScript","238"
"jerybe","CoffeeScript","35"
"jonathanong","CoffeeScript","14"
"ivan-hilckov","CoffeeScript","14"
"jacobwg","CoffeeScript","12"
"fatihacet","CoffeeScript","91"
"casperin","CoffeeScript","82"
"perimosocordiae","CoffeeScript","353"
"StevenOosterbeek","CoffeeScript","18"
"jpbottaro","CoffeeScript","24"
"LawrenceJones","CoffeeScript","19"
"tenedor","CoffeeScript","131"
"santialbo","CoffeeScript","49"
"alexspeller","CoffeeScript","23"
"robingl","CoffeeScript","76"
"ylian","CoffeeScript","257"
"jawsthegame","CoffeeScript","55"
"ivey","CoffeeScript","101"
"myme","CoffeeScript","87"
"int3","CoffeeScript","152"
"monkeynova","CoffeeScript","77"
"kevintuhumury","CoffeeScript","12"
"admire93","CoffeeScript","51"
"jpettersson","CoffeeScript","38"
"wanderer","CoffeeScript","32"
"icambron","CoffeeScript","41"
"sergiolopes","CoffeeScript","21"
"tjdett","CoffeeScript","40"
"mhluska","CoffeeScript","278"
"antimatter15","CoffeeScript","120"
"tobobo","CoffeeScript","13"
"nightnic","CoffeeScript","12"
"vizio360","CoffeeScript","80"
"lexich","CoffeeScript","181"
"eddiezane","CoffeeScript","31"
"daniel-nelson","CoffeeScript","17"
"sinisterchipmunk","CoffeeScript","103"
"JetFault","CoffeeScript","13"
"arbind","CoffeeScript","60"
"deanboyer","CoffeeScript","32"
"Epoch2","CoffeeScript","76"
"meltingice","CoffeeScript","96"
"mizzao","CoffeeScript","94"
"shanejonas","CoffeeScript","226"
"pablogonzalezalba","CoffeeScript","17"
"srt32","CoffeeScript","48"
"donavon","CoffeeScript","45"
"createbang","CoffeeScript","17"
"jashkenas","CoffeeScript","275"
"jonesdeini","CoffeeScript","21"
"elliottgoodwin","CoffeeScript","22"
"cmoncrief","CoffeeScript","50"
"jbratton","CoffeeScript","18"
"cha0s","CoffeeScript","56"
"PixieCode","CoffeeScript","13"
