"repository_language","actor_attributes_location","loccnt"
"C++","Taipei, Taiwan","5238"
"JavaScript","Utrecht, The Netherlands","5236"
"Python","Brisbane, Australia","5226"
"Java","San Jose, CA","5215"
"Shell","Berlin, Germany","5194"
"Ruby","Berlin, Deutschland","5186"
"PHP","Taipei, Taiwan","5141"
"PHP","Salt Lake City, UT","5140"
"Java","Karlsruhe, Germany","5122"
"Ruby","Dublin, Ireland","5104"
"Python","Toronto, Ontario","5086"
"JavaScript","Brooklyn, New York","5078"
"JavaScript","Cape Town, South Africa","5077"
"PHP","Shanghai, China","5036"
"Objective-C","New York, NY","5022"
"PHP","Hamburg, Germany","5011"
"Java","Brooklyn, NY","5006"
"Java","Budapest, Hungary","4985"
"Java","Omaha, NE","4983"
"PHP","Raleigh, NC","4976"
"Ruby","Munich, Germany","4972"
"Ruby","Montevideo, Uruguay","4961"
"Ruby","Edinburgh, UK","4930"
"C","Karlsruhe, Germany","4913"
"JavaScript","Redmond, WA","4895"
"Python","South Kingstown, RI","4855"
"JavaScript","Denver, Colorado","4854"
"Ruby","Vienna, Austria","4839"
"Ruby","Minneapolis, MN","4829"
"Java","Vienna, Austria","4829"
"PHP","Prague, CZ","4817"
"Objective-C","Mountain View, CA","4810"
"Python","Porto, Portugal","4795"
"JavaScript","Montpellier, France","4790"
"Shell","Boston, MA","4780"
"Java","Bucharest, Romania","4778"
"Java","Seoul, Korea","4773"
"C","Chicago, IL","4747"
"Java","Istanbul, Turkey","4746"
"PHP","Wellington, New Zealand","4742"
"JavaScript","Budapest, Hungary","4734"
"PHP","Aachen, Germany","4731"
"Java","Copenhagen, Denmark","4726"
"JavaScript","Chattanooga, TN","4713"
"Ruby","London, United Kingdom","4699"
"Ruby","Manchester, UK","4694"
"Ruby","Iowa City, IA","4690"
"JavaScript","Riga, Latvia","4685"
"C","Porto, Portugal","4669"
"PHP","Vancouver, BC","4660"
"Ruby","Christchurch, New Zealand","4659"
"Python","Boston, Massachusetts","4656"
"Python","Santa Barbara, CA","4655"
"JavaScript","Ottawa, Canada","4655"
"JavaScript","Trondheim, Norway","4650"
"C++","Melbourne, Australia","4649"
"Python","Dublin, Ireland","4643"
"Java","Cambridge, MA","4624"
"JavaScript","Aveiro, Portugal","4620"
"Python","Santiago, Chile","4618"
"C","Los Angeles, CA","4614"
"JavaScript","Indianapolis, IN","4604"
"Python","Brighton, UK","4600"
"Ruby","Taipei, Taiwan","4591"
"Java","Rome, Italy","4589"
"Shell","Atlanta, GA","4586"
"Ruby","Santiago, Chile","4576"
"Java","Lisbon, Portugal","4575"
"C","Helsinki, Finland","4570"
"Java","Buenos Aires, Argentina","4555"
"Ruby","Salt Lake City, UT","4554"
"Python","London, United Kingdom","4554"
"Shell","Munich, Germany","4551"
"PHP","Oslo, Norway","4549"
"JavaScript","Norfolk, VA","4543"
"PHP","Barcelona, Spain","4541"
"Python","Buenos Aires, Argentina","4541"
"Python","Minneapolis, MN","4539"
"Java","San Jose, California","4533"
"Java","Madrid, Spain","4529"
"PHP","Pittsburgh, PA","4524"
"PHP","Bucharest, Romania","4517"
"Python","Madison, WI","4514"
"Python","Bucharest, Romania","4499"
"JavaScript","Mumbai, India","4490"
"C","Sydney, Australia","4489"
"Ruby","Lexington, KY","4481"
"PHP","England, UK","4476"
"Ruby","San Jose, CA","4458"
"C#","Copenhagen, Denmark","4450"
"Python","Hamburg, Germany","4448"
"C#","Bellevue, WA","4423"
"JavaScript","Karlsruhe, Germany","4419"
"Ruby","Santa Monica, CA","4408"
"Ruby","Auckland, New Zealand","4404"
"JavaScript","Plano, TX","4391"
"JavaScript","Montreal, QC","4385"
"PHP","Lawrence, KS","4375"
"JavaScript","Paris, france","4367"
"C","Santa Cruz, CA","4360"
"Python","Lyon, France","4358"
"C++","Berkeley, CA","4356"
"JavaScript","Chennai, India","4346"
"C#","San Francisco, CA","4345"
"C","Moscow, Russia","4313"
"C++","Toronto, Canada","4308"
"Python","Shanghai, China","4304"
"PHP","Madrid, Spain","4299"
"C++","Brisbane, Australia","4293"
"Ruby","Ann Arbor, MI","4291"
"JavaScript","Tampa, FL","4272"
"JavaScript","Cleveland, OH","4264"
"Objective-C","Beijing, China","4261"
"Python","Stuttgart, Germany","4259"
"PHP","Vienna, Austria","4251"
"Java","Dresden, Germany","4234"
"JavaScript","Edinburgh, UK","4220"
"C++","Eindhoven, The Netherlands","4208"
"Ruby","Helsinki, Finland","4202"
"JavaScript","Bristol, UK","4192"
"Python","Houston, TX","4189"
"Java","Washington, DC","4186"
"PHP","Helsinki, Finland","4183"
"C","Berkeley, CA","4180"
"Java","London, United Kingdom","4171"
"Python","Somerville, MA","4168"
"Python","Ljubljana, Slovenia","4153"
"PHP","Jakarta, Indonesia","4151"
"Python","Geneva, Switzerland","4146"
"Ruby","Zagreb, Croatia","4112"
"Ruby","New Haven, CT","4111"
"Ruby","Austin, Tx","4111"
"Objective-C","Portland, OR","4110"
"JavaScript","Kyiv, Ukraine","4108"
"Ruby","Warsaw, Poland","4106"
"Shell","Chicago, IL","4097"
"C","Dublin, Ireland","4086"
"Python","Boulder, CO","4084"
"Ruby","Copenhagen, Denmark","4083"
"PHP","San Diego, CA","4079"
"Ruby","Kiev, Ukraine","4066"
"Java","Dalian, China","4058"
"PHP","Colombo, Sri Lanka","4058"
"Python","Bern, Switzerland","4042"
